id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1733589956 ,329eb946-5d9c-3ba3-b2e1-e288b47c552c,  -16.890670 ,  -40.053700 ,2024-11-20 16:54:00,Brasil,BAHIA,JUCURUÇU,Mata Atlântica
 1733589974 ,b3913ec4-3a0b-38d9-91d5-91327d83cca6,  -14.869920 ,  -41.839370 ,2024-11-20 16:54:00,Brasil,BAHIA,CONDEÚBA,Caatinga
 1733589975 ,176b3bba-4a59-3b4d-b9ab-18e30bd3c88c,  -17.647210 ,  -40.244350 ,2024-11-20 16:54:00,Brasil,BAHIA,LAJEDÃO,Mata Atlântica
 1733590004 ,6da692dc-849b-3e4a-9025-0589d6f790a2,  -13.922110 ,  -41.191720 ,2024-11-20 16:54:00,Brasil,BAHIA,CONTENDAS DO SINCORÁ,Caatinga
 1733590033 ,50c1ecdf-b9c4-37e7-959d-ccfbf8cf504c,  -17.530620 ,  -39.244000 ,2024-11-20 16:54:00,Brasil,BAHIA,ALCOBAÇA,Mata Atlântica
 1733590041 ,1a8ebadd-0cb1-38c1-9d9b-2bd33f676ae3,  -13.923070 ,  -41.218010 ,2024-11-20 16:54:00,Brasil,BAHIA,TANHAÇU,Caatinga
 1733590046 ,fae4c02d-458c-32ae-a43d-bd9388d325a4,  -12.282150 ,  -38.256200 ,2024-11-20 16:54:00,Brasil,BAHIA,POJUCA,Mata Atlântica
 1733590066 ,97818724-25c2-3ee2-bbdc-205d448cec48,  -10.898320 ,  -44.691630 ,2024-11-20 16:56:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1733715281 ,d7968057-6d48-36a6-b0ba-e478d0142597,  -10.808050 ,  -42.441530 ,2024-11-21 17:34:00,Brasil,BAHIA,ITAGUAÇU DA BAHIA,Caatinga
 1733715696 ,a86239a4-e914-31fd-846b-5f2adcae49df,  -13.541680 ,  -42.978600 ,2024-11-21 17:34:00,Brasil,BAHIA,RIACHO DE SANTANA,Caatinga
 1733715740 ,0dab2f6d-b62a-32c8-9b2e-b314c8901f09,  -11.161340 ,  -44.810020 ,2024-11-21 17:34:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1733715845 ,003fd96f-5e3d-3690-9353-b7c954bf9669,  -11.159850 ,  -44.800270 ,2024-11-21 17:34:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1733715877 ,3765f95b-a61f-3247-b94d-8e6af991dfa9,  -11.772800 ,  -44.638720 ,2024-11-21 17:34:00,Brasil,BAHIA,ANGICAL,Cerrado
 1733715989 ,8c34f032-b85b-3e9e-aeac-991431aef9fd,  -13.694280 ,  -44.280190 ,2024-11-21 17:34:00,Brasil,BAHIA,CORIBE,Cerrado
